code,name,email,phones,address
41848829,ТОВ «БПЛ ЄВРО»,,+380630487368,"Україна, 01042, місто Київ, вулиця Чигоріна, будинок 55"
40221297,ТОВ «АВТО ОЙЛ»,trader77@ukr.net,+380985585448,"Україна, 03117, місто Київ, проспект Берестейський, будинок 65, офіс 222"
38540625,ТЗОВ «СПЕЦ ОІЛ СЕРВІС»,,,"Україна, 03113, місто Київ, проспект Перемоги, будинок 57, офіс 63"
24714833,ЗАТ «РУР ГРУП С.А.»,OFFICE@IT.KR.UA,"+380443039243, +380675211517","Україна, 03105, місто Київ, вулиця Червоноармійська, будинок 92"
39944497,ТОВ «МЕГАТРА­НСЛЬВІВ»,,+380933447176,"Україна, 04136, місто Київ, вулиця Виговського Івана, будинок 24 В"
33262675,ТОВ «ОН-ЛАЙН КАРТ ДАТА ЦЕНТР»,,"+380444969190, +380444969191","Україна, 03148, місто Київ, вулиця Гната Юри, будинок 9"
19423588,ПП «ВАСКО»,ogs@gazovik.kiev.ua,"+380442391300, +380442390866","Україна, 08133, Київська область, Бучанський район, місто Вишневе, вулиця Чорновола, будинок 46-Ж"
41461030,ТОВ «КЛО»,klooreeg@gmail.com,+380444943111,"Україна, 08130, Київська область, Бучанський район, село Петропавлівська Борщагівка, вулиця Велика Кільцева, будинок 2"
38927250,ТОВ «ВЄНТУС РЕСУРС»,tovventusresurs@gmail.com,+380672098707,"Україна, 08162, Київська область, Фастівський район, селище міського типу Чабани, вулиця Покровська, будинок 162"
41915030,ТОВ «ГЛОБАЛ СЕЙЛ»,global.sale.global@gmail.com,+380444300643,"Україна, 08132, Київська область, Києво-Святошинський район, місто Вишневе, вулиця Чорновола, будинок 54, офіс 3"
30019801,АТ «УКРТРАНСГАЗ»,FORLETTER@UTG.UA,+380444612095,"Україна, 01021, місто Київ, Кловський Узвіз, будинок 9/1"
31982734,ТОВ «АВТОБАНСЕРВІС»,autoban_zvit@klo.ua,+380444943111,"Україна, 08129, Київська область, Києво-Святошинський район, село Петропавлівська Борщагівка, вулиця Велика Кільцева, будинок 2"
40590881,ТОВ «ТЕХНОСАЛІКС»,texnosalix@klo.ua,+380442915641,"Україна, 02206, місто Київ, проспект Броварський, будинок 31-33, офіс 4"
40030051,ТОВ «ДЕЛІВЕРІ ТРЕЙД»,deliverytradee@gmail.com,+380685485872,"Україна, 03164, місто Київ, вулиця Олевська, будинок 3-А, кабінет 3"
39174532,ТОВ «ДЖЕНЕРАЛ ТРАНС АЛЬЯНС ЛОГІСТИК»,,+380677310032,"Україна, 08304, Київська область, Бориспільський район, місто Бориспіль, вулиця Привокзальна, будинок 21"
33300207,ТОВ «ТОРГІВЕЛЬНА СТОЛИЦЯ»,,+380675017435,"Україна, 01042, місто Київ, вулиця Філатова, будинок 10-А, офіс 3/49"
30019775,АТ «УКРГАЗВИДО­БУВАННЯ»,,+380442723115,"Україна, 04053, місто Київ, вулиця Кудрявська, будинок 26/28"
41612364,ТОВ «КОНВЕРС ЛІНКС»,tov.konvrslink@gmail.com,+380444943111,"Україна, 08205, Київська область, Бучанський район, місто Ірпінь, вулиця Шевченка Тараса, будинок 3 А"
34832024,ТОВ «ЕКО ЕНЕРДЖІ УКРАЇНА»,ecoenergy@astarta.ua,+380462686145,"Україна, 04070, місто Київ, вулиця Ярославська, будинок 56А"
34595602,ТОВ «ІНТРОСТРОЙ»,kyrychenko.and@gmail.com,+380503221594,"Україна, 03035, місто Київ, площа Солом'янська, будинок 2, офіс 806"
39871136,ТОВ «МЕСАР»,,+380443619191,"Україна, 01011, місто Київ, вулиця Панаса Мирного, будинок 5"
37045437,ТОВ «ТВК ДІО ПЛАСТ УКРАЇНА»,,+380674468200,"Україна, 08625, Київська область, Васильківський район, село Путрівка, вулиця Коцюбинського, будинок 137"
33923047,ПП «ГОЛД АГРО ПЕТРОЛЕУМ»,,+380504753422,"Україна, 02099, місто Київ, вулиця Бориспільська, будинок 7, офіс 242"
41189679,ТОВ «ПРИЗМА СТАЙЛ»,,+380445979126,"Україна, 01042, місто Київ, вулиця Іоанна Павла Іі, будинок 4/6, корпус А, офіс 507 А"
32486023,ТОВ «АВТОЛОГІСТИКА»,,,"Україна, 03022, місто Київ, вулиця Васильківська, будинок 24"
41011443,ТОВ «ФАСТІВСЬКА НАФТОБАЗА»,,,"Україна, 08502, Київська область, місто Фастів, вулиця Андрія Шептицького, будинок 8"
42034393,ТОВ «МОТО ТРЕЙДІНГ»,mototrading2018@gmail.com,+380442289754,"Україна, 03150, місто Київ, вулиця Предславинська, будинок 34 Б, КАБІНЕТ 401"
32015568,ТОВ «АГРО-НВ»,-,,"Україна, 03115, місто Київ, проспект Берестейський, будинок 121, корпус В, приміщення 107"
41174573,ТОВ «НОРДГАЗ»,ng41174573@ukr.net,+380973622821,"Україна, 03055, місто Київ, провулок Тбіліський, будинок 4/10, офіс 308Б"
38659753,ТОВ «ОІЛ-ХОЛДІНГ»,oilholding.llc@gmail.com,+380504572076,"Україна, 03039, місто Київ, вулиця Голосіївська, будинок 7, корпус 1, офіс 225"
37037544,ТОВ «ТОРГОВИЙ ДІМ „СОКАР УКРАЇНА“»,,+380442071010,"Україна, 01054, місто Київ, вулиця Хмельницького Богдана (Шевченківський Р-Н), будинок 52-А"
36631914,ТОВ «РІКОЙЛ»,,+380505288740,"Україна, 02094, місто Київ, вулиця Гната Хоткевича, будинок 12, офіс 177"
38727770,ДП «АМПУ»,,+380443514301,"Україна, 01135, місто Київ, проспект Берестейський, будинок 14"
19341330,ТОВ «ВІКІНГ»,,"+380442216468, +380681239041","Україна, 08300, Київська область, місто Бориспіль, вулиця Київський Шлях, будинок 153-А"
41131435,ТОВ «НАФТОСФЕРА»,,+380506571876,"Україна, 01030, місто Київ, вулиця Б. Хмельницького, будинок 44"
42613421,ТОВ «ПРОІМПЕКС ЛТД»,,+380976309335,"Україна, 02094, місто Київ, вулиця Хоткевича Гната, будинок 12, офіс 177"
33064160,ТОВ «ЗНГК»,"antonina@zngk.com.ua, vladimir@zngk.com.ua","+380444928714, +380444928714","Україна, 01054, місто Київ, вулиця Кониського Олександра, будинок 15, офіс 52"
39882834,ТОВ «НК ПРЕМІУМ»,,+380633142334,"Україна, 02064, місто Київ, вулиця Милославська, будинок 3А, квартира 38"
39106950,ТОВ «ЄВРО ОЇЛ ГРУП »,eurooilgrup.tov@gmail.com,"+380503255330, +380503255383","Україна, 07540, Київська область, місто Березань, вулиця Шевченків Шлях, будинок 127"
191796,ПРАТ «ДРУЖКІВСЬКЕ РУДОУПРАВЛІННЯ»,hunter@dr-rudo.dn.ua,"+380626742079, +380626795163","Україна, 04053, місто Київ, провулок Бехтерівський, будинок 12Б"
40305188,ТОВ «СП ПЕТРОЛІУМ»,,+380950399195,"Україна, 01021, місто Київ, вулиця Кловський Узвіз, будинок 7, офіс 39/4"
42238462,ТОВ «НАФТОГАЗ ОЙЛ»,,,"Україна, 01021, місто Київ, вулиця Кловський Узвіз, будинок 7, офіс 39/4"
42239945,ТОВ «РУТАНА СОЛЮШНС»,,,"Україна, 01054, місто Київ, вулиця Ярославів Вал, будинок 13/2"
42238014,ТОВ «ПЕТРОЛІУМ ОІЛ»,42238014@i.ua,+380502412112,"Україна, 01021, місто Київ, вулиця Кловський Узвіз, будинок 7, офіс 39/4"
